date, pm25, pm10, o3, no2, so2
2015/2/28, , 11, 21, 14, 
2015/3/1, , 9, 25, 13, 
2015/3/2, , 12, 31, 6, 
2015/3/3, , 4, 30, 11, 1
2015/3/4, , 7, 29, 11, 
2015/3/5, , 7, 26, 16, 1
2015/3/6, , 10, 27, 20, 1
2015/3/7, , 14, 4, 24, 
2015/3/8, , 17, , 27, 2
2015/3/9, , 19, , 24, 2
2015/3/10, , 20, , 24, 2
2015/3/11, , 24, 8, 26, 
2015/3/12, , 33, 19, 14, 1
2015/3/13, , 28, 17, 13, 
2015/3/14, , 17, 17, 17, 1
2015/3/15, , 29, 9, 13, 
2015/3/16, , 33, 6, 12, 
2015/3/17, , 44, , 24, 1
2015/3/18, , 48, 28, 27, 2
2015/3/19, , 33, 35, 22, 1
2015/3/20, , 41, 31, 19, 1
2015/3/21, , 45, 31, 27, 
2015/3/22, , 51, 23, 12, 
2015/3/23, , 32, 16, 11, 
2015/3/24, , 25, 32, 22, 1
2015/3/25, , 31, 20, 26, 
2015/3/26, , 27, 14, 16, 
2015/3/27, , 15, 28, 12, 
2015/3/28, , 13, 36, 19, 1
2015/3/29, , 12, 32, 5, 
2015/3/30, , 2, 32, 6, 
2015/3/31, , 4, 32, 6, 
2014/10/1, , 14, 32, 14, 
2014/10/2, , 14, 15, 12, 
2014/10/3, , 18, 17, 15, 
2014/10/4, , 19, 22, 12, 
2014/10/5, , 19, 20, 10, 
2014/10/6, , 12, 14, 15, 
2014/10/7, , 10, 17, 14, 
2014/10/8, , 10, 24, 16, 
2014/10/9, , 11, 14, 13, 
2014/10/10, , 10, 22, 15, 
2014/10/11, , 11, 14, 9, 
2014/10/12, , 10, 13, 12, 
2014/10/13, , 11, 20, 13, 
2014/10/14, , 9, 24, 19, 
2014/10/15, , 9, 18, 10, 
2014/10/16, , 8, 21, 11, 
2014/10/17, , 9, 9, 15, 1
2014/10/18, , 11, 20, 14, 
2014/10/19, , 13, 13, 13, 
2014/10/20, , 12, 27, 12, 
2014/10/21, , 11, 25, 5, 
2014/10/22, , 8, 21, 7, 
2014/10/23, , 9, 16, 12, 1
2014/10/24, , 11, 13, 16, 
2014/10/25, , 13, , , 
2014/10/28, , 12, 14, 12, 1
2014/10/29, , 12, 13, 18, 1
2014/10/30, , 17, 8, 19, 
2014/10/31, , 16, 2, 22, 
2014/11/1, , 19, 3, 22, 1
2014/11/2, , 24, 11, 20, 1
2014/11/3, , 22, 10, 17, 1
2014/11/4, , 15, 4, 22, 
2014/11/5, , 18, 23, 17, 
2014/11/6, , 11, 14, 14, 
2014/11/7, , 6, 18, 12, 1
2014/11/8, , 11, 17, 12, 
2014/11/9, , 10, 3, 17, 1
2014/11/10, , 14, , 15, 1
2014/11/11, , 20, , 16, 1
2014/11/12, , 20, 1, 16, 
2014/11/13, , 16, 8, 20, 
2014/11/14, , 11, 4, 18, 
2014/11/15, , 13, 14, 14, 
2014/11/16, , 12, 26, 9, 
2014/11/17, , 7, 8, 16, 1
2014/11/18, , 8, 16, 16, 
2014/11/19, , 9, 12, 12, 
2014/11/20, , 9, 2, 18, 
2014/11/21, , 12, 2, 16, 
2014/11/22, , 17, , 15, 
2014/11/23, , 19, , 13, 
2014/11/24, , 17, , 16, 1
2014/11/25, , 19, , 15, 
2014/11/26, , 17, , 13, 
2014/11/27, , 15, , 11, 
2014/11/28, , 15, 2, 13, 
2014/11/29, , 12, , , 
2014/12/2, , 9, , 10, 
2014/12/3, , 10, , 10, 
2014/12/4, , 10, , 11, 
2014/12/5, , 10, 1, 17, 
2014/12/6, , 12, 1, 17, 
2014/12/7, , 11, 2, 14, 1
2014/12/8, , 10, 8, 14, 
2014/12/9, , 12, 3, 19, 
2014/12/10, , 11, 9, 17, 
2014/12/11, , 14, 26, 11, 
2014/12/12, , 10, 25, 8, 
2014/12/13, , 6, 24, 12, 1
2014/12/14, , 8, 11, 14, 1
2014/12/15, , 9, 4, 21, 1
2014/12/16, , 11, 11, 20, 1
2014/12/17, , 14, 16, 14, 
2014/12/18, , 9, 12, 10, 
2014/12/19, , 7, 18, 10, 
2014/12/20, , 7, , , 
2014/12/23, , 10, 3, 21, 1
2014/12/24, , 13, 23, 25, 2
2014/12/25, , 16, 23, 12, 1
2014/12/26, , 11, 20, 7, 1
2014/12/27, , 8, 23, 10, 1
2014/12/28, , 8, 22, 7, 
2014/12/29, , 6, , , 
2014/7/1, , 9, 29, 10, 
2014/7/2, , 11, 42, 12, 
2014/7/3, , 10, 31, 16, 
2014/7/4, , 15, 35, 12, 
2014/7/5, , 17, 41, 9, 
2014/7/6, , 17, 35, 7, 
2014/7/7, , 9, 26, 8, 
2014/7/8, , 9, 26, 5, 
2014/7/9, , 7, 26, 6, 
2014/7/10, , 6, 21, 7, 
2014/7/11, , 6, 34, 9, 
2014/7/12, , 9, 33, 6, 
2014/7/13, , 8, 24, 4, 
2014/7/14, , 7, 20, 5, 
2014/7/15, , 9, 51, 13, 
2014/7/16, , 14, 59, 13, 
2014/7/17, , 16, 46, 11, 
2014/7/18, , 16, 69, 13, 
2014/7/19, , 15, 28, 13, 
2014/7/20, , 21, 34, 4, 
2014/7/21, , 7, 24, 6, 
2014/7/22, , 6, 48, 11, 
2014/7/23, , 11, 43, 9, 
2014/7/24, , 17, 54, 10, 
2014/7/25, , 17, 39, 6, 
2014/7/26, , 14, 40, 4, 
2014/7/27, , 10, 43, 5, 
2014/7/28, , 10, 32, 6, 
2014/7/29, , 8, 19, 6, 
2014/7/30, , 7, 44, 9, 
2014/7/31, , 15, 38, 9, 
