date, pm25, pm10, o3, no2, so2, co
2019/5/6, 233, 403, 26, 56, 19, 19
2019/5/7, 232, 407, 35, 49, 16, 20
2019/5/8, 240, 377, 39, 44, 17, 14
2019/5/9, 231, 300, 37, 39, 15, 9
2019/5/10, 195, 236, 42, 30, 10, 10
2019/5/11, 188, 478, 51, 33, 9, 10
2019/5/12, 243, 349, 73, 35, 17, 12
2019/5/13, 264, 113, 45, 30, 7, 7
2019/5/14, 135, 159, 30, 46, 15, 13
2019/5/15, 174, 168, 33, 41, 8, 13
2019/5/16, 151, 393, 34, 41, 9, 11
2019/5/17, 172, 91, 22, 35, 7, 7
