date, pm25
2018/5/11, 181
2018/5/12, 201
2018/5/13, 161
2018/5/14, 109
2018/5/15, 147
2018/5/16, 146
2018/5/17, 167
2018/5/18, 163
2018/5/19, 158
2018/5/20, 145
2018/5/21, 137
2018/5/22, 158
2018/5/23, 180
2018/5/24, 173
2018/5/25, 145
2018/5/26, 146
2018/5/27, 151
2018/5/28, 165
2018/5/29, 163
2018/5/30, 131
2018/5/31, 139
2018/6/1, 145
2018/6/2, 104
2018/6/3, 121
2018/6/4, 135
2018/6/5, 107
2018/6/6, 123
2018/6/7, 146
2018/6/8, 148
2018/6/9, 119
2018/6/10, 127
2018/6/11, 148
2018/6/12, 208
2018/6/13, 286
2018/6/14, 260
2018/6/15, 195
2018/6/16, 204
2018/6/18, 107
2018/6/19, 113
2018/6/20, 144
2018/6/21, 149
2018/6/22, 145
2018/6/23, 152
2018/6/24, 128
2018/6/25, 148
2018/6/26, 119
2018/6/27, 119
2018/6/28, 71
2018/6/29, 97
2018/6/30, 107
2018/1/2, 389
2018/1/3, 420
2018/1/4, 343
2018/1/5, 290
2018/1/6, 341
2018/1/7, 323
2018/1/8, 293
2018/1/9, 233
2018/1/10, 305
2018/1/11, 270
2018/1/12, 236
2018/1/13, 249
2018/1/14, 258
2018/1/15, 259
2018/1/16, 297
2018/1/17, 200
2018/1/18, 284
2018/1/19, 332
2018/1/20, 358
2018/1/21, 267
2018/1/22, 231
2018/1/23, 251
2018/1/24, 256
2018/1/25, 229
2018/1/26, 207
2018/1/27, 238
2018/1/28, 251
2018/1/29, 273
2018/1/30, 261
2018/1/31, 225
2018/2/1, 206
2018/2/2, 210
2018/2/3, 219
2018/2/4, 179
2018/2/5, 204
2018/2/6, 222
2018/2/7, 216
2018/2/8, 193
2018/2/9, 223
2018/2/10, 259
2018/2/11, 227
2018/2/12, 180
2018/2/13, 154
2018/2/14, 167
2018/2/15, 144
2018/2/16, 152
2018/2/17, 169
2018/2/21, 156
2018/2/22, 193
2018/2/23, 205
2018/2/24, 186
2018/2/25, 198
2018/2/26, 170
2018/2/27, 131
2018/2/28, 153
2018/3/1, 217
2018/3/2, 170
2018/3/3, 175
2018/3/4, 167
2018/3/5, 145
2018/3/6, 140
2018/3/7, 140
2018/3/8, 147
2018/3/9, 168
2018/3/10, 178
2018/3/11, 141
2018/3/12, 160
2018/3/13, 171
2018/3/14, 154
2018/3/15, 157
2018/3/16, 143
2018/3/17, 161
2018/3/18, 132
2018/3/19, 142
2018/3/20, 136
2018/3/21, 156
2018/3/22, 182
2018/3/23, 147
2018/3/24, 125
2018/3/25, 152
2018/3/26, 146
2018/3/27, 143
2018/3/28, 143
2018/3/29, 147
2018/3/30, 143
2018/3/31, 158
2017/10/1, 144
2017/10/2, 124
2017/10/3, 143
2017/10/4, 157
2017/10/5, 148
2017/10/6, 140
2017/10/7, 155
2017/10/8, 176
2017/10/9, 170
2017/10/10, 175
2017/10/11, 178
2017/10/12, 188
2017/10/13, 190
2017/10/14, 183
2017/10/15, 219
2017/10/16, 195
2017/10/17, 198
2017/10/18, 207
2017/10/19, 224
2017/10/20, 524
2017/10/21, 290
2017/10/22, 217
2017/10/23, 200
2017/10/24, 215
2017/10/25, 240
2017/10/26, 207
2017/10/27, 213
2017/10/28, 229
2017/10/30, 239
2017/10/31, 260
2017/12/21, 405
2017/12/22, 413
2017/12/23, 273
2017/12/24, 196
2017/12/25, 234
2017/12/26, 347
2017/12/27, 309
2017/12/28, 284
2017/12/29, 317
2017/12/30, 291
2017/12/31, 347
2018/1/1, 370
2017/7/1, 104
2017/7/2, 66
2017/7/3, 110
2017/7/4, 119
2017/7/5, 125
2017/7/6, 122
2017/7/7, 115
2017/7/8, 112
2017/7/9, 133
2017/7/10, 104
2017/7/11, 98
2017/7/12, 70
2017/7/13, 67
2017/7/14, 76
2017/7/15, 80
2017/7/17, 88
2017/7/18, 110
2017/7/19, 122
2017/7/20, 86
2017/7/21, 66
2017/7/22, 59
2017/7/23, 66
2017/7/24, 59
2017/7/25, 64
2017/7/26, 65
2017/7/27, 68
